0,2016-11-06,1,2016-11-06 rev. 001,11/12/2016 14:48:33,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2008 Standard Edition,,12.1.7004.6500,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,07/12/2016 16:14:21,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:01,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Not installed,12,1,No,,sp-5500-tsub-02,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/15/2016 05:56:16,8,English,40957 MB,4094 MB,,Service Pack 1,x86 Family 6 Model 44 Stepping 2,2935,INTEL  - 6040000 PhoenixBIOS 4.0 Release 6.0,None,10.185.21.243,0.0.0.0,0.0.0.0,0.0.0.0,10.185.21.251,0.0.0.0,0.0.0.0,0.0.0.0,00-50-56-95-6b-d2,,,,10.185.10.93,10.185.10.92,0.0.0.0,0.0.0.0,0.0.0.0,0F886B0F911BA7A9F6865D437742D2B0,2586 MB,2236 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,chtadmin,,Install successful.,BC121542-5B5D-4AE3-90F4-D392D3A291EE
181618,2016-11-07,8,2016-11-07 rev. 008,11/12/2016 21:07:01,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2008 R2 Standard Edition,,12.1.5337.5000,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,01/14/2016 11:28:59,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 13:00:00,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Not installed,12,1,No,,SP-5500-UBFL-01,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/14/2016 17:33:08,8,English,139876 MB,4093 MB,,Service Pack 1,Intel64 Family 6 Model 23 Stepping 6,2833,HP     - 2 Default System BIOS,None,55.251.188.189,0.0.0.0,0.0.0.0,0.0.0.0,55.251.188.1,0.0.0.0,0.0.0.0,0.0.0.0,00-23-7d-ed-8a-22,,,,10.185.10.93,10.185.10.92,0.0.0.0,0.0.0.0,0.0.0.0,8B1DD05037700F0ED65E096A270878EC,2904 MB,122783 MB,480,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,DerankovYI,,No Status Reported.,39373534-3332-5A43-4A39-313141304E43
0,2016-11-07,8,2016-11-07 rev. 008,11/13/2016 02:25:21,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2008 R2 Standard Edition,,12.1.5337.5000,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,08/14/2015 15:54:38,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:01,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Not installed,12,1,Yes,The Installer component has a task to complete from install.;The Installer component has a task to complete from install.,SP-5500-TSYM-01,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/15/2016 05:38:32,4,English,255897 MB,8191 MB,,Service Pack 1,Intel64 Family 6 Model 44 Stepping 2,2933,INTEL  - 6040000 PhoenixBIOS 4.0 Release 6.0,None,10.185.21.66,0.0.0.0,0.0.0.0,0.0.0.0,10.185.21.251,0.0.0.0,0.0.0.0,0.0.0.0,00-50-56-95-2a-8b,,,,10.185.10.93,10.185.10.92,0.0.0.0,0.0.0.0,0.0.0.0,951833F3613CD92CD84C05915D70CFFE,3942 MB,217529 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,Michael,,Files copied.,C42F1542-7B59-4B8A-B946-9B0568BAF787
0,2016-11-07,8,2016-11-07 rev. 008,11/13/2016 02:25:21,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2003 family Enterprise Edition,,12.1.5337.5000,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,01/20/2016 12:42:30,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:02,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Client not reporting status,12,1,No,,sp-5500-ptsq-01,hq.szb.sbrf.ru,SZB-HQ,11/15/2016 05:04:02,4,English,51191 MB,4095 MB,,Service Pack 2,EM64T Family 6 Model 44 Stepping 2,2933,UNKNOWN Default System BIOS,None,10.185.21.15,0.0.0.0,0.0.0.0,0.0.0.0,10.185.21.251,0.0.0.0,0.0.0.0,0.0.0.0,00-50-56-95-2a-ad,,,,10.185.10.93,10.185.10.92,0.0.0.0,0.0.0.0,0.0.0.0,91E98F02F1E204AF2BED80CDAA2F5F54,435 MB,37094 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,vpAdmin2,,No Status Reported.,E0B21542-9A4B-7BA7-367E-6EDCFF6D3CAF
0,2016-11-06,1,2016-11-06 rev. 001,11/12/2016 14:48:33,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2003 family Enterprise Edition,,12.1.7004.6500,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,01/04/2016 14:45:03,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:02,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Not installed,12,1,No,,kr-8628-panther,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/14/2016 06:01:20,8,English,138911 MB,8191 MB,,Service Pack 2,x86 Family 15 Model 2 Stepping 2,1999,HP     - 1 Default System BIOS,None,10.155.100.36,0.0.0.0,0.0.0.0,0.0.0.0,10.155.100.253,0.0.0.0,0.0.0.0,0.0.0.0,00-0b-cd-c4-c3-85,,,,10.185.10.106,10.66.12.218,55.164.100.31,55.164.100.33,0.0.0.0,A9DF5F9B25A301D780D4DC66953C9005,6887 MB,132039 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,8628SergeevAV-s,,Install successful.,30333338-434B-3158-3130-303220202020
181618,2016-11-07,8,2016-11-07 rev. 008,11/12/2016 21:07:01,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2003 family Enterprise Edition,,12.1.1000.157,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Проверка целостности хоста выключена.  Политика целостности хоста выключена администратором.,08/07/2016 14:16:16,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,(Severity 0) Viral,11/12/2016 02:00:04,11/13/2016 07:03:54,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Not installed,12,1,No,,m8627ln-svt01,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,08/25/2016 04:30:15,2,English,76316 MB,3071 MB,,Service Pack 2,x86 Family 6 Model 15 Stepping 6,1875,GBT    - 42302e31 Award Modular BIOS v6.00PG,None,10.171.160.130,192.168.218.1,192.168.249.1,0.0.0.0,10.171.160.240,0.0.0.0,0.0.0.0,0.0.0.0,00-1a-4d-20-ac-08,00-50-56-c0-00-01,00-50-56-c0-00-08,,10.185.10.105,10.185.10.106,0.0.0.0,0.0.0.0,0.0.0.0,82730B1737523EC6F9171B6E585D56C8,2091 MB,45739 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,TarasovSV,,No Status Reported.,
0,2016-11-06,1,2016-11-06 rev. 001,11/12/2016 14:48:33,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2003 family Enterprise Edition,,12.1.7004.6500,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,12/25/2015 18:24:56,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:00,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Not installed,12,1,No,,KR-8628-KATIE,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/15/2016 05:09:46,4,English,80002 MB,3325 MB,,Service Pack 2,x86 Family 6 Model 15 Stepping 6,2666,HP     - 2 Default System BIOS,None,10.155.100.23,0.0.0.0,0.0.0.0,0.0.0.0,10.155.100.253,0.0.0.0,0.0.0.0,0.0.0.0,00-1c-c4-7b-02-26,,,,10.185.10.106,10.66.12.218,55.164.100.31,55.164.100.33,0.0.0.0,9357FD333303ED619CCCCE10C7A9348B,2545 MB,61900 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,8628SergeevAV-s,,Install successful.,35363134-3436-5A43-4A37-333930345357
0,2016-11-07,8,2016-11-07 rev. 008,11/13/2016 02:25:21,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2003 family Enterprise Edition,,12.1.1000.157,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Проверка целостности хоста выключена.  Политика целостности хоста выключена администратором.,08/08/2016 11:40:08,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,(Severity 0) Viral,11/12/2016 02:00:02,08/31/2016 16:16:28,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Client not reporting status,12,1,No,,SZB-WOD-0000013,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,Never,4,English,76293 MB,1869 MB,,Service Pack 2,x86 Family 6 Model 58 Stepping 9,3292,LENOVO - 1520 LENOVO BIOS Rev: F1KT52A 0.0,None,10.171.8.100,0.0.0.0,0.0.0.0,0.0.0.0,10.171.8.248,0.0.0.0,0.0.0.0,0.0.0.0,74-27-ea-6f-99-2c,,,,10.185.10.105,10.66.12.218,0.0.0.0,0.0.0.0,0.0.0.0,E1E14D55E7F0AC1AC152F1A89E0ADA03,1141 MB,65994 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,8627DEF,,No Status Reported.,
0,2016-11-06,1,2016-11-06 rev. 001,11/12/2016 14:48:33,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2008 Enterprise Edition,,12.1.7004.6500,12.1.7004,5263-10/06/2016 12:52:33 388,                                ,,                                ,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,10/28/2016 00:03:15,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:03,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Not installed,12,1,No,,sp-5500-tacc-02,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/15/2016 06:03:45,4,Russian,69970 MB,8189 MB,,Service Pack 1,x86 Family 6 Model 15 Stepping 6,2666,HP     - 2 Default System BIOS,None,10.185.21.200,10.226.32.51,0.0.0.0,0.0.0.0,10.185.21.251,0.0.0.0,0.0.0.0,0.0.0.0,00-1b-78-ca-bc-56,00-1b-78-ca-5b-fc,,,10.185.10.93,10.185.10.92,0.0.0.0,0.0.0.0,0.0.0.0,A2618143E0F5D4737545307B4DA4938F,6944 MB,46300 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,chernyshevmg,,Install successful.,35363134-3436-5A43-4A37-323330345537
0,2016-11-07,8,2016-11-07 rev. 008,11/13/2016 02:25:21,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2012 R2 Standard Edition,,12.1.5337.5000,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,,08/04/2016 14:50:30,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 01:00:03,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Disabled by Policy,12,1,No,,NG-8629-SRVR-20,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/15/2016 04:21:46,4,English,51198 MB,4030 MB,,,Intel64 Family 6 Model 45 Stepping 7,2200,FTS    - 1072009 BIOS Date: 11/25/14 12:04:44 Ver: 04.06.05,None,10.173.22.121,0.0.0.0,0.0.0.0,0.0.0.0,10.173.16.251,0.0.0.0,0.0.0.0,0.0.0.0,90-1b-0e-0c-a3-85,,,,10.185.10.106,10.185.10.105,0.0.0.0,0.0.0.0,0.0.0.0,AB0E15858BB682CC54FE9239DE0B44B4,2848 MB,38449 MB,-240,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,SVC-8629-Srv,,No Status Reported.,F2FF47FB-30AB-624B-AB1E-0D1FC0CF519B
0,2016-11-06,1,2016-11-06 rev. 001,11/12/2016 14:48:33,11/15/2016 16:50:25,Symantec Endpoint Protection,Windows Server 2003 family Enterprise Edition,,12.1.7004.6500,12.1.7004,5263-10/06/2016 12:52:33 388,,,,Disabled,Check is disabled,Host Integrity check is disabled.  Host Integrity policy has been disabled by the administrator.,10/08/2015 11:35:19,Enabled,11/15/2016 16:50:25,SZB-TF2,,,,,,,,,,,Enabled,No,No detections,11/12/2016 02:00:02,Never,Yes,Enabled,Disabled by Policy - Basic protection,Not installed,Enabled,Not installed,Not installed,Not installed,Not installed,12,1,No,,sp-5500-TCRM-10,hq.szb.sbrf.ru,HQ.SZB.SBRF.RU,11/15/2016 05:29:44,4,English,20465 MB,7987 MB,,Service Pack 2,x86 Family 6 Model 44 Stepping 2,2933,Xen - 0 Revision: 1.138,None,10.185.221.216,0.0.0.0,0.0.0.0,0.0.0.0,10.185.221.129,0.0.0.0,0.0.0.0,0.0.0.0,5e-ac-cc-4b-16-f2,,,,10.185.10.93,10.185.10.92,0.0.0.0,0.0.0.0,0.0.0.0,55AA662F0A0B303509387D9A39E0B2A7,7466 MB,8364 MB,-180,Not installed,Sp-5500-tsym-02,My Company\Default Group,Default,evtushenkois,,Install successful.,FC47EF1B-D90D-3474-CFE5-1AF5411C25F5
